,reviews,Verified_status,word_count,spl_characters
0,am frequent ulcer with ba have been last year have note rate given franklin cannot understand how ba score three star most aspect it service in nutshell ba ha place profit margin over passing appreci the fact hammer home my return leg which not club europe quit alarming ba appear place profit over passing safety by extend it busy class seat up beyond emerge exit row then fail ensue those seat exit row have physics cap actual open door ideas an emerge not at all reassure see an elderly slightly built woman seat with response open over exit should need have arisen shorthaul busy club europe is simple joke only use gain valuable tier point loungepreboard benefit while cabin crew service is expel lack space reduce refresh choice etc place them million april behind comet airline such as later turkish or emit who understand true definite custom appreci hospital ba ha consist rod value their execute club seem be impress that recent change obtain also point due book process benefit passing really want support ba did enjoy fly with them up point when they start penn pinch became more desert name budget away the attach photo take due my most recent itinerant highlight differ custom careappreci between british away not airline use the trip both flight were around hour murat same day guess which one is show ba flight offer,Not Verified ,233,6
1,flew with ba punt can took trouble reserve seat both outbound bound flight on board at patrick realise we had been move much less good seat with other people sit seat we had spent lot money reserve appear there ha been change aircraft number passing had been automatic really seat no particular reason the crew said there not they could do although course they could just have swap us with couple use our seat we were told claim refund return home we did the via complaint form is ba offer us voucher we didn accept the as it less than cost seat also nature we want our money back we events got it but not without fight very second rate shod airline,Not Verified ,123,2
2,they downward me from busy premium economic they took three month get back me offer me pound or and the differ between busy class premium economic which never fly is and differ between economic busy is and they owe me at least pound be very fair pound the downward insult inured pain as had recent cancer over have back injury which have point out them need lie down the wait them get around me ha been numb the insult their offer ha been slap face continue my dead the people have dealt with at airport have been down earth honest hard work people the actual staff plane were warm friendly help the system under which ba over are some sort medium torture,✅ Trip Verified ,130,4
3,the already delay aircraft land apart from small ba log rear fuselag there no india as whom carrier really wa board turn into far with passing group be told wait one queue order board only be inform we were wrong place our board want allow yet the interior cabin reminds ba cabin from twenty year earlier except tight bedroom comfort seat which made budget airline feel luxury the crew were not ba but from an unknown charter company service slow as usual choice food purchase ran out before they reach row request cup tea which never appear thank good my airport purchase water tiny offer pratzen the over office senior flight attend who been facility club europe appear economic dimmed slam down arrest whilst still mid flight make an already comfort journey feel words cattle class definite that to say happy land disembark an understand never again ba never again,✅ Trip Verified ,151,4
4,caught up patrick cancel frisco at some point between what smooth check unable do online as part group travel secure flight cancel we were den entry secure departure as result it at the point that we disco ba patrick are not ba but masquerad who are unable help proved very little assist unless real ba proved inform even though our baggage now afraid didn have clue as how we could get it back it is howe with thank supervisor from busy class check in who came our assist help with our predict baggage retrieve inform what claim how our revise ba flight from the follow even difficult give rate cabin service as we didn even board aircraft,✅ Trip Verified ,117,6
5,ba ha real problem with board it flight those who get first fill luggage bin with bag one which is suppose be small under seat only cabin staff dont bother implement their own rule subsequ passing mill up down aisle bump into each other search space board the flight took an hour as result the nonsense the income flight late already so our minute flight minute late,✅ Trip Verified ,70,0
6,our connect flight from london glasgow cancel we were for wait hour airport new flight when we receive our luggage at glasgow we disco that our luggage soak wet my wife luggage content were wet had be air dry,✅ Trip Verified ,40,0
7,the worst airline have ever flown with allow very back row next toilet galley no chance get and sleep question ask possible seat movement ignore get bump enter time by cabin crew walk or push part up down aisle without one apology would have been better sit luggage compare,✅ Trip Verified ,49,0
8,expel service level proactiv crew superb food beverage found all aspect service be superior ba busy class even new ba club suit first class felt excuse devil crew were clearly use work premium cabin enjoy their work were proactiv friendly very respect food beverage offer consider step up from busy class the seat with slide doubt door spacious well design very comfort british away offer solid first class service from concord long board which actual by group number change very warm genuine welcome board a consist solid comfort service from start finish if price right would not west book first class with british away again,✅ Trip Verified ,105,2
9,book very special holiday me my partner september arrive we were our way love south france book busy class us both start holiday right as we were check told flight over book our seat wouldn print onto ticket some reason we had already made sure seat were book when we had book flight nearly year prior go unfortun when we arrive at gate we were then told we would no longer be sat together one us would fact have go into economic my girlfriend is an extreme nervous ulcer so had take extra tablet remain calm she didn have and food which we had pre book also she sat right down bottom end flight we were held at gate with not or couple all same predict all due love money grab british away over book flight they end up refuse passing end even had people sat fold down chair toilet area when we events arrive france late we wait our luggage come our aorta state that both our case fact still heathrow we then had wait day them events come into france by the point our holiday ruin british away absolute shock we couldn speak anyone as all phone number were no longer use we felt strand foreign country with no cloth no one help use with what do next every day we watch them case not move as we were track with air tag it so frustrate not be all plan our day hope we would get call then drive all way back air port hour each way collect our case we end up go out buy new cloth toilet all stuff make best our ruin holiday save all receipt think we would be all claim it all back how wrong wa british away take zero response for me off with go through my insure british away only pay basic essential part toothpast file complaint when got back request my money back busy class they haven even had decent even respond they are an absolute joke company wish they would remove british out there name because there is not british about them do not give them your money they can even look after their staff let along custom oh dont bother try cancel your flight either as they just take all your money off you give you not back,Not Verified ,394,0
10,just return from chicago flew out day ago american airline absolute superb every way had high expect return flight with ba what disappoint the air a may be nice from pilot respect but as passing it a very comfort seat flight entertain flight trace fail work throughout flight flight meal lined service medico at best our short flight from heathrow manifest much improve very welcome attend flight staff flight even arrive early in future we will travel with one american carrier,Not Verified ,82,0
11,ba standard continue decline every time fly with them the time min late departure which seem norm ba no inform from rude careless board gate staff the club long overgrown dirty rabbi clean staff could not cope how man more cusack is ba go apply before they become truly low cost as year veteran user ba while people complain flex cruz cut cost past year ha seen them decline very quickly under their latest co one read occasion article about ba improve thing but have yet see any substance there seem be few british staff left amongst cabin crew so may time name change give flag carrier state proper lowest sadly staff service ha decline year year board cater remain poor surprise that domo can produce such rubbish meal when have sample their turkish airline equal august that superb guess ba are too tight with their budget board wife service is joke should be avoid,✅ Trip Verified ,160,1
12,a busy class check queue just as long as economic probably because half desk were not staff german is chronic busy long powerful couldn get seat delay flight unmanag chat at gate no drink board first drink serve an hour after takeoff the meal poor use get better economic other airline british away ha won race bottom cheapskat stake not look forward flight home,Not Verified ,65,0
